Rk,Player,Nation,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Pos1,Pos2
1,Max Aarons,ENG,Bournemouth,Premier League,23.0,2000.0,20,13,1237,13.7,0,1,1,0,0,0,1,0,0.0,0.0,0.8,0.9,22.0,43.0,26.0,0.0,0.07,0.07,0.0,0.07,0.0,0.06,0.06,0.0,0.06,DF,
2,Brenden Aaronson,USA,Union Berlin,Bundesliga,22.0,2000.0,30,14,1267,14.1,2,2,4,2,0,0,3,1,2.0,2.0,1.9,3.8,37.0,56.0,91.0,0.14,0.14,0.28,0.14,0.28,0.14,0.13,0.27,0.14,0.27,MF,FW
3,Paxten Aaronson,USA,Eint Frankfurt,Bundesliga,19.0,2003.0,7,1,101,1.1,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.2,2.0,5.0,7.0,0.0,0.89,0.89,0.0,0.89,0.11,0.07,0.19,0.11,0.19,MF,
4,Keyliane Abdallah,FRA,Marseille,Ligue 1,17.0,2006.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FW,
5,Yunis Abdelhamid,MAR,Reims,Ligue 1,35.0,1987.0,31,31,2781,30.9,4,0,4,3,1,1,5,0,3.4,2.6,0.3,2.9,36.0,137.0,9.0,0.13,0.0,0.13,0.1,0.1,0.11,0.01,0.12,0.09,0.09,DF,
6,Salis Abdul Samed,GHA,Lens,Ligue 1,23.0,2000.0,27,17,1519,16.9,0,0,0,0,0,0,2,0,0.8,0.8,0.5,1.3,9.0,78.0,20.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,MF,
7,Nabil Aberdin,FRA,Getafe,La Liga,20.0,2002.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DF,
8,Laurent Abergel,FRA,Lorient,Ligue 1,30.0,1993.0,33,32,2860,31.8,2,1,3,2,0,0,4,0,1.1,1.1,2.2,3.3,38.0,194.0,51.0,0.06,0.03,0.09,0.06,0.09,0.04,0.07,0.1,0.04,0.1,MF,
9,Matthis Abline,FRA,Nantes,Ligue 1,20.0,2003.0,22,12,1044,11.6,5,0,5,5,0,0,1,0,3.8,3.8,2.0,5.8,28.0,20.0,87.0,0.43,0.0,0.43,0.43,0.43,0.33,0.17,0.5,0.33,0.5,FW,
10,Abner,BRA,Betis,La Liga,23.0,2000.0,23,15,1400,15.6,0,1,1,0,0,0,3,0,0.1,0.1,1.0,1.1,14.0,33.0,58.0,0.0,0.06,0.06,0.0,0.06,0.01,0.06,0.07,0.01,0.07,DF,
